Rank,Name,Count,Gender,Year,Country
50,Jocelyn,412,F,1995,Chile
1,María,7713,F,1992,Chile
2,Camila,5408,F,1992,Chile
3,Daniela,4167,F,1992,Chile
4,Nicole,3162,F,1992,Chile
5,Carolina,3073,F,1992,Chile
6,Constanza,2985,F,1992,Chile
7,Francisca,2719,F,1992,Chile
8,Katherine,2600,F,1992,Chile
9,Bárbara,2482,F,1992,Chile
10,Javiera,2275,F,1992,Chile
11,Claudia,2187,F,1992,Chile
12,Natalia,1832,F,1992,Chile
13,Valentina,1803,F,1992,Chile
14,Fernanda,1714,F,1992,Chile
15,Gabriela,1625,F,1992,Chile
16,Catalina,1537,F,1992,Chile
17,Carla,1478,F,1992,Chile
18,Ana,1389,F,1992,Chile
19,Paulina,1389,F,1992,Chile
20,Macarena,1359,F,1992,Chile
21,Paula,1271,F,1992,Chile
22,Alejandra,1182,F,1992,Chile
23,Tamara,1152,F,1992,Chile
24,Andrea,1152,F,1992,Chile
25,Valeria,1152,F,1992,Chile
26,Jocelyn,1123,F,1992,Chile
27,Romina,1064,F,1992,Chile
28,Estefanía,1034,F,1992,Chile
29,Elizabeth,1005,F,1992,Chile
30,Karen,1005,F,1992,Chile
31,Karina,975,F,1992,Chile
32,Patricia,916,F,1992,Chile
33,Marcela,887,F,1992,Chile
34,Evelyn,887,F,1992,Chile
35,Pamela,887,F,1992,Chile
36,Nicol,739,F,1992,Chile
37,Vanessa,709,F,1992,Chile
38,Karla,680,F,1992,Chile
39,Yesenia,680,F,1992,Chile
40,Victoria,680,F,1992,Chile
41,Verónica,650,F,1992,Chile
42,Rocío,621,F,1992,Chile
43,Jessica,591,F,1992,Chile
44,Paola,591,F,1992,Chile
45,Yessenia,591,F,1992,Chile
46,Mariana,561,F,1992,Chile
47,Belén,561,F,1992,Chile
48,Nataly,561,F,1992,Chile
49,Viviana,532,F,1992,Chile
50,Joselyn,532,F,1992,Chile
1,Catalina,5435,F,2003,Chile
2,Javiera,4451,F,2003,Chile
3,Valentina,4402,F,2003,Chile
4,Constanza,4254,F,2003,Chile
5,María,4058,F,2003,Chile
6,Fernanda,3221,F,2003,Chile
7,Antonia,2877,F,2003,Chile
8,Francisca,2754,F,2003,Chile
9,Camila,2508,F,2003,Chile
10,Sofía,2361,F,2003,Chile
11,Martina,1746,F,2003,Chile
12,Daniela,1746,F,2003,Chile
13,Isidora,1475,F,2003,Chile
14,Belén,1230,F,2003,Chile
15,Millaray,1205,F,2003,Chile
16,Bárbara,1180,F,2003,Chile
17,Pía,984,F,2003,Chile
18,Josefa,934,F,2003,Chile
19,Monserrat,885,F,2003,Chile
20,Natalia,861,F,2003,Chile
21,Carla,861,F,2003,Chile
22,Anaís,836,F,2003,Chile
23,Carolina,812,F,2003,Chile
24,Paula,713,F,2003,Chile
25,Tamara,689,F,2003,Chile
26,Ignacia,664,F,2003,Chile
27,Krishna,664,F,2003,Chile
28,Rocío,639,F,2003,Chile
29,Paloma,639,F,2003,Chile
30,Katherine,615,F,2003,Chile
31,Nicole,615,F,2003,Chile
32,Karla,615,F,2003,Chile
