Rank,Name,Count,Gender,Year,Country
38,Esteban,718,M,2004,Chile
39,Alejandro,694,M,2004,Chile
40,Manuel,670,M,2004,Chile
41,Alonso,670,M,2004,Chile
42,Marcelo,646,M,2004,Chile
43,Eduardo,622,M,2004,Chile
44,Alvaro,622,M,2004,Chile
45,Patricio,598,M,2004,Chile
46,Cristopher,598,M,2004,Chile
47,Angel,574,M,2004,Chile
48,Mauricio,574,M,2004,Chile
49,Claudio,550,M,2004,Chile
50,Ricardo,550,M,2004,Chile
51,Andres,550,M,2004,Chile
52,Alexander,526,M,2004,Chile
53,Pedro,526,M,2004,Chile
54,Sergio,502,M,2004,Chile
55,Leandro,479,M,2004,Chile
56,Gonzalo,479,M,2004,Chile
57,Alex,455,M,2004,Chile
58,Alan,455,M,2004,Chile
59,Amaro,455,M,2004,Chile
60,Marco,431,M,2004,Chile
61,Jesus,431,M,2004,Chile
62,Alexis,407,M,2004,Chile
63,Brandon,407,M,2004,Chile
64,Jonathan,407,M,2004,Chile
65,Bruno,407,M,2004,Chile
66,Ariel,407,M,2004,Chile
67,Oscar,407,M,2004,Chile
68,Brayan,383,M,2004,Chile
69,Hector,383,M,2004,Chile
70,Luciano,383,M,2004,Chile
71,Ivan,383,M,2004,Chile
72,Leonardo,383,M,2004,Chile
73,Bryan,359,M,2004,Chile
74,Cesar,335,M,2004,Chile
75,Angelo,335,M,2004,Chile
76,Roberto,335,M,2004,Chile
77,Elias,335,M,2004,Chile
78,Damian,311,M,2004,Chile
79,Jean,311,M,2004,Chile
80,Jeremy,311,M,2004,Chile
81,Jordan,311,M,2004,Chile
82,Dylan,311,M,2004,Chile
83,Gustavo,311,M,2004,Chile
84,Josue,287,M,2004,Chile
85,Isaac,287,M,2004,Chile
86,Mario,287,M,2004,Chile
87,Antonio,287,M,2004,Chile
88,Lukas,287,M,2004,Chile
89,Thomas,287,M,2004,Chile
90,Jaime,263,M,2004,Chile
91,Maximo,263,M,2004,Chile
92,Rafael,263,M,2004,Chile
93,Samuel,263,M,2004,Chile
94,Guillermo,263,M,2004,Chile
95,Emilio,263,M,2004,Chile
96,Simon,263,M,2004,Chile
97,Christian,239,M,2004,Chile
98,Santiago,239,M,2004,Chile
99,Ian,239,M,2004,Chile
100,Axel,239,M,2004,Chile
1,Sebastián,4647,M,1995,Chile
2,José,4482,M,1995,Chile
3,Felipe,4427,M,1995,Chile
4,Matías,4400,M,1995,Chile
5,Juan,3932,M,1995,Chile
6,Diego,3767,M,1995,Chile
7,Nicolás,3712,M,1995,Chile
8,Luis,3685,M,1995,Chile
9,Francisco,3080,M,1995,Chile
10,Carlos,2777,M,1995,Chile
11,Cristian,2502,M,1995,Chile
12,Daniel,2475,M,1995,Chile
13,Jorge,2310,M,1995,Chile
14,Ignacio,2117,M,1995,Chile
15,Javier,2117,M,1995,Chile
16,Rodrigo,2090,M,1995,Chile
17,Pablo,2062,M,1995,Chile
18,Bastián,1760,M,1995,Chile
19,Víctor,1760,M,1995,Chile
20,Eduardo,1512,M,1995,Chile
21,Manuel,1457,M,1995,Chile
22,Patricio,1375,M,1995,Chile
23,Camilo,1347,M,1995,Chile
24,Marcelo,1347,M,1995,Chile
25,Claudio,1292,M,1995,Chile
26,Fabián,1265,M,1995,Chile
27,Miguel,1265,M,1995,Chile
28,Mauricio,1210,M,1995,Chile
29,Gabriel,1210,M,1995,Chile
30,Gonzalo,1182,M,1995,Chile
31,Cristóbal,1155,M,1995,Chile
32,Sergio,1155,M,1995,Chile
33,Jonathan,1127,M,1995,Chile
34,Kevin,1127,M,1995,Chile
35,David,1127,M,1995,Chile
36,Alejandro,1127,M,1995,Chile
37,Franco,1127,M,1995,Chile
38,Esteban,1100,M,1995,Chile
39,Ricardo,1100,M,1995,Chile
40,Fernando,1072,M,1995,Chile
41,Benjamín,1045,M,1995,Chile
42,Álvaro,962,M,1995,Chile
43,Andrés,935,M,1995,Chile
44,Pedro,935,M,1995,Chile
45,Héctor,907,M,1995,Chile
46,Oscar,880,M,1995,Chile
47,Bryan,825,M,1995,Chile
48,Iván,825,M,1995,Chile
49,Roberto,797,M,1995,Chile
50,Joaquín,770,M,1995,Chile
1,Felipe,5555,M,1992,Chile
2,Diego,5083,M,1992,Chile
3,Juan,4787,M,1992,Chile
4,José,4698,M,1992,Chile
5,Luis,4492,M,1992,Chile
6,Sebastián,4226,M,1992,Chile
7,Francisco,3664,M,1992,Chile
8,Carlos,3251,M,1992,Chile
9,Cristian,3103,M,1992,Chile
10,Nicolás,2955,M,1992,Chile
11,Jorge,2630,M,1992,Chile
12,Daniel,2453,M,1992,Chile
13,Pablo,2394,M,1992,Chile
14,Rodrigo,2334,M,1992,Chile
15,Víctor,2305,M,1992,Chile
16,Matías,2246,M,1992,Chile
17,Jonathan,1832,M,1992,Chile
18,Javier,1773,M,1992,Chile
19,Claudio,1743,M,1992,Chile
20,Manuel,1743,M,1992,Chile
21,Eduardo,1714,M,1992,Chile
22,Camilo,1625,M,1992,Chile
23,Miguel,1566,M,1992,Chile
24,Franco,1537,M,1992,Chile
25,Alejandro,1507,M,1992,Chile
26,Patricio,1478,M,1992,Chile
27,Mauricio,1478,M,1992,Chile
28,Sergio,1448,M,1992,Chile
29,David,1389,M,1992,Chile
30,Fabián,1389,M,1992,Chile
31,Ricardo,1359,M,1992,Chile
32,Gonzalo,1330,M,1992,Chile
33,Ignacio,1330,M,1992,Chile
34,Gabriel,1241,M,1992,Chile
35,Fernando,1241,M,1992,Chile
36,Héctor,1241,M,1992,Chile
37,Pedro,1212,M,1992,Chile
38,Marcelo,1182,M,1992,Chile
39,Esteban,1093,M,1992,Chile
40,Andrés,1034,M,1992,Chile
41,Oscar,1034,M,1992,Chile
42,Alexis,975,M,1992,Chile
43,Cristóbal,975,M,1992,Chile
44,Álvaro,946,M,1992,Chile
45,Roberto,946,M,1992,Chile
46,Jaime,916,M,1992,Chile
47,Gustavo,916,M,1992,Chile
48,César,916,M,1992,Chile
49,Mario,887,M,1992,Chile
50,Marco,798,M,1992,Chile
1,Benjamín,7402,M,2003,Chile
2,Matías,4992,M,2003,Chile
3,Sebastián,3885,M,2003,Chile
4,Diego,3615,M,2003,Chile
5,Nicolás,3246,M,2003,Chile
6,Vicente,2779,M,2003,Chile
7,José,2754,M,2003,Chile
8,Felipe,2533,M,2003,Chile
9,Joaquín,2410,M,2003,Chile
10,Martín,2336,M,2003,Chile
11,Juan,2287,M,2003,Chile
12,Francisco,2115,M,2003,Chile
13,Ignacio,1967,M,2003,Chile
14,Bastián,1894,M,2003,Chile
15,Javier,1771,M,2003,Chile
16,Cristóbal,1672,M,2003,Chile
17,Luis,1598,M,2003,Chile
18,Tomás,1451,M,2003,Chile
19,Daniel,1426,M,2003,Chile
20,Carlos,1353,M,2003,Chile
21,Cristián,1328,M,2003,Chile
22,Pablo,1279,M,2003,Chile
23,Gabriel,1254,M,2003,Chile
24,Lucas,1131,M,2003,Chile
25,Rodrigo,1131,M,2003,Chile
26,Jorge,1057,M,2003,Chile
27,Maximiliano,1057,M,2003,Chile
28,Fernando,1008,M,2003,Chile
29,Kevin,984,M,2003,Chile
30,David,934,M,2003,Chile
31,Fabián,934,M,2003,Chile
32,Renato,885,M,2003,Chile
33,Víctor,861,M,2003,Chile
34,Álvaro,787,M,2003,Chile
35,Camilo,787,M,2003,Chile
36,Alejandro,762,M,2003,Chile
37,Miguel,762,M,2003,Chile
38,Eduardo,762,M,2003,Chile
39,Manuel,762,M,2003,Chile
40,Marcelo,738,M,2003,Chile
41,Leandro,689,M,2003,Chile
42,Franco,689,M,2003,Chile
43,Esteban,689,M,2003,Chile
44,Mauricio,639,M,2003,Chile
45,Patricio,639,M,2003,Chile
46,Claudio,615,M,2003,Chile
47,Pedro,615,M,2003,Chile
48,Agustín,615,M,2003,Chile
49,Ricardo,615,M,2003,Chile
50,Alonso,590,M,2003,Chile
51,Sergio,566,M,2003,Chile
52,Ángel,566,M,2003,Chile
53,Andrés,566,M,2003,Chile
54,Alexander,566,M,2003,Chile
55,Cristopher,516,M,2003,Chile
56,Gonzalo,516,M,2003,Chile
57,Brayan,492,M,2003,Chile
58,Óscar,492,M,2003,Chile
59,Jonathan,492,M,2003,Chile
60,Alan,467,M,2003,Chile
61,Ariel,467,M,2003,Chile
62,Brandon,443,M,2003,Chile
63,Alexis,443,M,2003,Chile
64,Jesús,418,M,2003,Chile
65,Iván,418,M,2003,Chile
66,Bryan,418,M,2003,Chile
67,Leonardo,418,M,2003,Chile
68,Marco,418,M,2003,Chile
69,César,418,M,2003,Chile
70,Héctor,418,M,2003,Chile
71,Jean,393,M,2003,Chile
72,Bruno,393,M,2003,Chile
73,Roberto,369,M,2003,Chile
74,Jordan,369,M,2003,Chile
75,Gustavo,369,M,2003,Chile
76,Alex,369,M,2003,Chile
77,Luciano,344,M,2003,Chile
78,Angelo,344,M,2003,Chile
79,Damián,344,M,2003,Chile
80,Rafael,344,M,2003,Chile
81,Guillermo,320,M,2003,Chile
82,Jeremy,320,M,2003,Chile
83,Elías,320,M,2003,Chile
84,Lukas,320,M,2003,Chile
85,Samuel,320,M,2003,Chile
86,Christian,295,M,2003,Chile
87,Thomas,295,M,2003,Chile
88,Mario,295,M,2003,Chile
89,Antonio,295,M,2003,Chile
90,Emilio,271,M,2003,Chile
91,Jaime,271,M,2003,Chile
92,Raúl,271,M,2003,Chile
93,Cristofer,271,M,2003,Chile
94,Simón,271,M,2003,Chile
95,Josué,246,M,2003,Chile
96,Santiago,246,M,2003,Chile
97,Christopher,246,M,2003,Chile
