Rank,Name,Count,Year,Country
69,Scarleth,271,2003,Chile
70,Karen,271,2003,Chile
71,Rayén,271,2003,Chile
72,Karina,271,2003,Chile
73,Denisse,271,2003,Chile
74,Alondra,271,2003,Chile
75,Vanessa,246,2003,Chile
76,Magdalena,246,2003,Chile
77,Marcela,246,2003,Chile
78,Noelia,246,2003,Chile
79,Scarlett,221,2003,Chile
80,Damaris,221,2003,Chile
81,Nicol,221,2003,Chile
82,Isabel,221,2003,Chile
83,Francesca,221,2003,Chile
84,Kimberly,197,2003,Chile
85,Pamela,197,2003,Chile
86,Ayline,197,2003,Chile
87,Esperanza,197,2003,Chile
88,Cristina,197,2003,Chile
89,Noemi,197,2003,Chile
90,Aylin,197,2003,Chile
91,Montserrat,197,2003,Chile
92,Nataly,197,2003,Chile
93,Tania,197,2003,Chile
94,Aracely,197,2003,Chile
95,Geraldine,197,2003,Chile
96,Trinidad,197,2003,Chile
97,Jazmin,197,2003,Chile
98,Vania,172,2003,Chile
99,Nayareth,172,2003,Chile
100,Kristel,172,2003,Chile
1,María,7279,1993,Chile
2,Camila,6119,1993,Chile
3,Daniela,4611,1993,Chile
4,Constanza,3654,1993,Chile
5,Francisca,3161,1993,Chile
6,Nicole,2726,1993,Chile
7,Carolina,2639,1993,Chile
8,Javiera,2204,1993,Chile
9,Katherine,2088,1993,Chile
10,Paula,1972,1993,Chile
11,Claudia,1972,1993,Chile
12,Valentina,1943,1993,Chile
13,Fernanda,1885,1993,Chile
14,Bárbara,1885,1993,Chile
15,Macarena,1827,1993,Chile
16,Catalina,1711,1993,Chile
17,Natalia,1624,1993,Chile
18,Carla,1392,1993,Chile
19,Gabriela,1305,1993,Chile
20,Paulina,1218,1993,Chile
21,Karina,1189,1993,Chile
22,Andrea,1131,1993,Chile
23,Tamara,1102,1993,Chile
24,Valeria,1102,1993,Chile
25,Ana,1073,1993,Chile
26,Alejandra,1073,1993,Chile
27,Romina,928,1993,Chile
28,Jocelyn,899,1993,Chile
